model_type,data,route,MAE_test,MSE_test,RMSE_test,MAPE_test,R2_test,5_fold_cv_MAE,MAE_actual_vs_planned,MAPE_actual_vs_planned
MLP,test,38_9,379.56302177135285,244856.75261565243,494.83002396343375,0.08491178514835693,0.6716185797636445,376.43029967567173,489.7068965517241,0.10276721283378189
MLP,test,38A_20,402.1916990791539,293497.3331036979,541.7539414750001,0.09308789900717186,0.5277857418935605,404.7011874989121,535.9618757148304,0.11710982929659117
MLP,test,7A_85,381.48326050506967,240495.99054270022,490.4039055133026,0.08618805237571964,0.55870650544997,396.0877916556304,487.09400386847193,0.1049721218832652
MLP,test,40D_104,245.64174861363836,97541.16426184475,312.3158085365593,0.08148794191834988,0.23933134400226308,247.65945458588985,306.3427323272438,0.09703534815961194
MLP,test,79A_28,225.2345382990415,88094.6041386991,296.8073518946239,0.09026562311202317,0.5721560211107759,236.86183172237764,373.43369609028616,0.14044967497330044
MLP,test,40D_102,247.91881415948487,99948.18733838666,316.145832391298,0.08263864238407727,0.3585437505534632,256.4728263579942,370.78746928746926,0.11629489734212713
MLP,test,17_15,345.3661147911495,202075.1193910541,449.527662542645,0.08891324779370664,0.6624420310176373,372.14096842044205,475.61006289308176,0.12204054396445085
MLP,test,75_17,365.12226012020585,247943.8164775217,497.9395711103122,0.08309625506313172,0.6631348919416316,375.36023886818623,499.74021052631576,0.1103401783455371
MLP,test,43_84,280.323750297213,132299.27377786505,363.7296712915583,0.0892250893904319,0.5918423096460383,286.58231195790285,336.58933901918977,0.1035728093016184
MLP,test,75_19,351.417274860341,209004.03646348894,457.16959267156966,0.07783025642793585,0.6846439861921578,370.3033632460921,584.063593683312,0.12308403719740763
MLP,test,13_60,429.5093777647734,318970.1086115623,564.7743873544216,0.06868839377091832,0.4584768931317976,447.2837610821931,560.9090909090909,0.08574445981575732
MLP,test,7_72,529.6713027288679,443127.1932459079,665.6779951642595,0.11673605910276363,0.39848460637603444,524.9957012410891,707.9526498696786,0.14283428490408198
MLP,test,17_10,318.78899369943423,173112.18239608133,416.0675214386258,0.08478863353336147,0.6413590096054738,337.88357866409234,433.56244343891404,0.11006124493803209
MLP,test,184_29,183.60510058680393,55235.66310544686,235.0226863633527,0.06900423274556292,0.5428423194148938,187.96101317284882,244.2009674582234,0.08904640482837294
MLP,test,32_58,208.19782107850898,70780.1509400836,266.0453926308133,0.07842810151599143,0.6353755825359135,214.6795824335556,283.0227471566054,0.10423445106574901
MLP,test,184_28,237.62183094809956,104783.0406650555,323.7020862846817,0.07788282403737662,0.4539910404256323,243.60205181579244,340.11492032834377,0.1064972586416065
MLP,test,32_57,259.5288100181192,113308.12401989942,336.6127211201315,0.08614726103819675,0.6180799160248527,267.0819293389898,336.5470508779829,0.10826753045456301
MLP,test,43_88,268.4556501426206,121281.18237169669,348.254479327541,0.09173148151829243,0.5183435299010639,275.0977317360525,319.7522686025408,0.10580213873460396
MLP,test,66_18,293.9099213843837,155062.59588054265,393.7798825239078,0.07463712646406984,0.664545677398644,297.11388650274773,535.3018779342723,0.12756085051421814
MLP,test,70_60,450.4615013531851,330932.12028899137,575.2669991308309,0.1038140629924505,0.5799275260077357,464.73588958255897,665.982686008423,0.13934647715503407
MLP,test,66_17,325.7902145300809,173765.8451496324,416.8523061584671,0.07535553286584691,0.6527077239305019,343.7975469352856,492.0716013546202,0.10806617823881033
MLP,test,38A_32,519.14675408582,435686.19877314626,660.0652988706089,0.12387034895922117,0.35484929348017447,529.5623816341096,630.0942662779397,0.1401486866696693
MLP,test,33B_56,138.11027133112458,32462.581982240466,180.17375497624639,0.0894453140703995,0.2869501473538154,141.81070238273577,182.76079228034536,0.11192762813711087
MLP,test,70_67,434.7746112620707,325597.9977900839,570.611950269256,0.11033242745594468,0.5404657322824848,433.48274507689166,578.295647823912,0.1392057403493956
MLP,test,7_70,449.5389832869094,321380.88285488193,566.9046505849832,0.10171409591087749,0.21625666954220013,447.0159257374779,594.1887366818873,0.12595246025488063
MLP,test,65B_65,350.65208220016245,227192.6707346706,476.64732322197153,0.09853813374233825,0.6278716032984512,346.30378928321346,433.5375453133092,0.1137869947088456
MLP,test,33B_58,281.6002633821738,132709.89823888187,364.2936977754101,0.14740743386043564,0.1926678201156885,284.23440537482224,407.3508682328907,0.18428166856990513
MLP,test,7A_87,384.02701381571666,239062.61631560326,488.94029933684465,0.08100601758037923,0.26101827437411806,401.15966330249387,540.4298813376483,0.10785138769769725
MLP,test,65B_66,627.1425183720405,638202.8205590002,798.8759732017231,0.15247098607161352,0.41509735420054183,643.7206405852957,1052.1915367483296,0.22837856727855707
MLP,test,45A_60,240.46028647660034,97132.42040593282,311.66074569302566,0.07269619595897962,0.7096290347467546,250.98571276677552,322.41813031161473,0.09285625355014399
MLP,test,44_36,406.07376719102734,298056.8822809412,545.9458602104619,0.07226927886209591,0.6738815074625746,412.4789941382305,562.3006993006993,0.09710794633538304
MLP,test,270_44,210.3960124032012,67969.76666176926,260.71011998342,0.1508216646504532,0.02361459962899959,210.28598537137887,251.23495032144945,0.16084916289915815
MLP,test,270_42,198.81452549698412,64889.31404691663,254.73381017626346,0.14252856324373483,0.32223943831552315,204.42474715266673,300.4782608695652,0.19011077678476374
MLP,test,63_26,337.0233711501188,184440.58629917615,429.4654657817974,0.1118194897303732,0.2791652058070425,325.93062186557864,435.82214156079857,0.13426757007686427
MLP,test,25_269,228.80590785803122,93286.94175780858,305.42911085521723,0.08508450724117438,0.6623578887595486,230.80799228172737,305.29371499688864,0.1069051582133821
MLP,test,44_40,401.05942326141115,279159.06361548917,528.3550544998023,0.07239317069950564,0.6351945854537391,399.9296827675184,524.4362416107383,0.09267758637855344
MLP,test,61_108,232.77727972942952,94891.59532232696,308.04479434382097,0.08392113793070484,0.6498135905429034,235.23234500014752,325.2645569620253,0.11086803873950482
MLP,test,47_139,326.2178029374097,188381.41665823138,434.0292808765687,0.09694822790751136,0.7152485975814658,338.5901605072885,394.17335882727855,0.11704889665548783
MLP,test,45A_64,311.4130514517053,171341.79808196318,413.93453357018086,0.0887135462780204,0.6390505050831775,312.731643440334,419.9672955974843,0.11197177887432086
MLP,test,63_30,267.97859680617745,128909.96051037987,359.04033270703707,0.10361651784728526,0.28572383135270896,280.7115472195623,352.7142857142857,0.12891902752506615
MLP,test,61_106,244.96373080839282,109162.68890302343,330.39777375615506,0.08562146971065854,0.6606781985014689,249.71020006764064,367.8359375,0.12264665633052513
MLP,test,47_136,345.0390483151031,251479.00001808832,501.4768190236597,0.09524234475557332,0.5401870302261946,336.2386054699265,748.489289740699,0.1922725491734452
MLP,test,56A_31,292.7783737297617,150517.39493669738,387.96571360971757,0.08796528864006169,0.6306518273770346,289.0152194635054,475.01939799331103,0.13777202057740354
MLP,test,25_272,299.0107480982334,148605.5803080903,385.4939432832769,0.10391227076230473,0.5629521396682613,306.24403702735214,383.2163624070318,0.12343002757584962
MLP,test,56A_30,284.46608661845136,145616.145732958,381.5968366390869,0.08452560573258479,0.7085605453320842,288.32253280681334,395.6242424242424,0.11225093643800228
MLP,test,114_6,194.4976354188323,65546.9939774959,256.02147171183884,0.11148177130800839,0.5497419284140284,203.85648796830029,249.19459833795014,0.13284187189876676
MLP,test,114_5,197.74311091978487,66717.14440506652,258.29662097105825,0.1082775713957623,0.5071439064641232,200.01695543987526,253.20571827057182,0.13025965561466962
MLP,test,26_29,214.71560526710252,80998.85402786669,284.60297614021306,0.10260522069500086,0.5948877135012036,212.82846748792008,402.23000707714084,0.17544656113210255
MLP,test,26_28,218.5410407796622,80615.50425210077,283.92869571795796,0.10551152893873339,0.4154878932739896,220.56596891568262,295.02863436123346,0.13380664814966778
MLP,test,238_11,153.690087837239,39700.54664207456,199.24996020595478,0.09248221449974864,0.44213198172975465,157.42415383106228,225.983137829912,0.1280996057427238
MLP,test,238_15,154.6206377684492,39254.499433320794,198.12748278146773,0.09798560786137742,0.3586174200695992,152.2579988553398,289.48624535315986,0.16895184098759752
MLP,test,84_30,312.2520901888289,167514.0679321007,409.28482494724955,0.06431574434084303,0.6520823019666719,318.35870358387376,421.25959367945825,0.0847844454124435
MLP,test,33_44,434.18025674764374,363500.1015643938,602.9096960278495,0.07208142069103614,0.6078355042744648,430.0810831209059,819.2290852228303,0.1306341574798176
MLP,test,59_11,131.08851058597756,32136.947453643428,179.267809306756,0.11080049530756259,0.3955693402179157,132.86594920991666,159.67538461538462,0.12739545932254762
MLP,test,59_10,116.28352031589881,22567.433386145327,150.22460978862728,0.10074816842734066,0.3995012586166037,124.01873860539334,149.98470948012232,0.12052590508956511
MLP,test,84_27,317.91716687474326,180022.8288114724,424.29097187127655,0.06440550358250079,0.5937455023287936,321.208711347178,463.56637863315007,0.09224270161602158
MLP,test,33_70,388.3138254703495,256612.33978188716,506.5691855826676,0.06875713231653115,0.6801910941347793,381.02341127963416,777.5082872928177,0.13182385625795662
MLP,test,53_21,126.12124436141437,26216.490810609626,161.91507283329005,0.09933184128771805,0.2571514029059997,131.40818306588022,164.94512694512696,0.12314522969114035
MLP,test,111_7,225.87317661544878,97204.99709160729,311.7771593488004,0.0874053882941826,0.5936466591673604,230.97410558148403,303.7770326906957,0.11571638828589696
MLP,test,83A_23,427.9586876037455,284503.9710718694,533.3891366271621,0.0966243013248367,0.38467158813092484,423.39120858264033,497.72727272727275,0.10688947948951082
MLP,test,83A_17,371.63474849010123,222713.2563831549,471.925053777774,0.08243871500812858,0.5267942154866316,389.3789129770345,448.78984861976846,0.09461064675978895
MLP,test,104_16,227.6532969826857,86859.95330144175,294.7201270721797,0.09899624361621809,0.2683365299124919,232.42266063035987,258.65042174320524,0.1073167562399705
MLP,test,104_15,245.43758708449934,105762.45743940899,325.2114042271719,0.10262361205451254,0.32313752733204526,240.1246926773229,257.4023722627737,0.10417770835575112
MLP,test,185_56,99.35462803455256,16845.86461820039,129.7916199844982,0.08848968707750186,0.41972895922115505,100.9626789326124,121.70691333982474,0.10309938233917486
MLP,test,69_47,286.5657112367647,157400.00760816547,396.7366980859793,0.0685191215797521,0.738604015620794,295.0213467137153,632.3201160541586,0.1452575666301502
MLP,test,239_28,401.9721511410386,272203.17113304517,521.7309374888987,0.13532561667659768,0.18525349069183394,422.15716615551037,666.8429423459245,0.19514694359362605
MLP,test,53_20,189.50694166884452,61106.99187888802,247.19828453872412,0.1264659266657179,0.20437931013533728,197.79602123300532,208.9061413673233,0.13004761598979084
MLP,test,68_83,272.0742286416876,136537.5054101643,369.5098177452993,0.06676728098848927,0.3943857975634769,287.1854160483703,408.9655543595264,0.0976410580429902
MLP,test,66A_37,309.52910533479127,166677.5240287974,408.2615877458929,0.09585088266051127,0.44849697780097275,321.8729294895112,431.61985216473073,0.12596096167692672
MLP,test,239_26,362.7660368859124,237682.20784547034,487.5266227043097,0.12440012092848304,0.5508438930231626,361.20906140294835,732.7890946502058,0.21839237217761134
MLP,test,66A_38,260.38378971343377,122373.74893430588,349.8195948404061,0.08315008018171724,0.5461493163309903,264.2016306006973,465.60748663101606,0.1387359055223113
MLP,test,66B_59,247.6835821142595,112421.14459330942,335.29262531900315,0.07723678541999889,0.6335911404594463,262.83047272744125,481.0342245989305,0.1401376205982408
